"Authors","Fluency","Ref_ACC","Pro_ACC","Authors","Fluency","Ref_sd","Pro_sd","Authors","Fluency","Ref_n","Pro_n"
"Baauw & Cuetos (2003)",0,82.290625,67.708125,"Baauw & Cuetos (2003)",0,24.6968941282772,33.5916450363777,"Baauw & Cuetos (2003)",0,4,4
"Bos et al. (2014)",0,96.25,98,"Bos et al. (2014)",0,6.89706056551952,2.83823106098773,"Bos et al. (2014)",0,10,10
"Bos et al. (2014)",1,95.75,91.5,"Bos et al. (2014)",1,5.14376645400365,13.5503177494519,"Bos et al. (2014)",1,10,10
"Caplan et al. (2015)",0,54.1803278688525,53.3606557377049,"Caplan et al. (2015)",0,41.0425301511809,38.9355763134995,"Caplan et al. (2015)",0,61,61
"Choy & Thompson (2010)",0,63.75,65,"Choy & Thompson (2010)",0,19.2260983338497,14.142135623731,"Choy & Thompson (2010)",0,8,8
"Edwards & Varlokostra (2007)",0,48.95,50.9333333333333,"Edwards & Varlokostra (2007)",0,25.4919491935044,32.6242276519316,"Edwards & Varlokostra (2007)",0,10,10
"Gavarró (2008) ",0,100,82.5,"Gavarró (2008) ",0,0,7.07106781186548,"Gavarró (2008) ",0,2,2
"Grodzinsky et al. (1993)",0,84.3725,68.226875,"Grodzinsky et al. (1993)",0,14.5533503588235,20.4623357150807,"Grodzinsky et al. (1993)",0,8,8
"Grodzinsky et al. (1993)",1,89.58125,70.83,"Grodzinsky et al. (1993)",1,17.1072135474233,28.8662764187852,"Grodzinsky et al. (1993)",1,4,4
"Hickok & Avrutin (1995)",0,91.5,50,"Hickok & Avrutin (1995)",0,12.0208152801713,11.3137084989848,"Hickok & Avrutin (1995)",0,2,2
"Martinez-Ferreiro (2010)",0,84.315,64.0025,"Martinez-Ferreiro (2010)",0,19.0578912620163,33.9171970844366,"Martinez-Ferreiro (2010)",0,6,6
"Ruigendijk, Vasic & Avrutin (2006)",0,97.6666666666667,81.5714285714286,"Ruigendijk, Vasic & Avrutin (2006)",0,4.04145188432738,17.8677682673898,"Ruigendijk, Vasic & Avrutin (2006)",0,3,7
"Sanchez-Alonso et al. (2011)",0,75.0909090909091,29.7272727272727,"Sanchez-Alonso et al. (2011)",0,38.1613798111508,30.7378948826718,"Sanchez-Alonso et al. (2011)",0,11,11
